var,var_reference,sensitivity,specificity,ppv,npv,kappa_est,kappa_se,kappa_lower,kappa_upper,auc
can_traffic_light_yn,gis_traffic_lights_yn,0.6923076923076923,0.904320987654321,0.3673469387755102,0.9734219269102989,0.42409923213230943,0.08692836803834891,0.2537227615423029,0.594475702722316,0.7983143399810066
can_crosswalk_yn,gis_pedxwalk_signs_yn,0.6842105263157895,0.6525679758308157,0.1015625,0.972972972972973,0.09092860516034848,0.06684809356279257,-0.040091250657888766,0.22194846097858573,0.6683892510733026
can_stop_sign_yn,gis_stop_signs_yn,0.6792452830188679,0.5757575757575758,0.22222222222222224,0.9095744680851064,0.1382279004097936,0.055421153574185485,0.029604435422726783,0.24685136539686042,0.6275014293882218
can_stop_sign_yn,gis_stop_signs2_yn,0.6851851851851852,0.5777027027027027,0.22839506172839508,0.9095744680851064,0.14463720225802015,0.05533549900621942,0.03618161713927817,0.2530927873767621,0.631443943943944
can_school_zone_yn,gis_school_zone_signs_yn,0.23809523809523808,0.9361702127659575,0.19230769230769235,0.9506172839506173,0.1567912488605284,0.1310908530992465,-0.10014210191662562,0.4137245996376824,0.5871327254305978
can_sidewalk_yn,gis_sw,0.9760479041916168,0.3125,0.9673590504451038,0.3846153846153849,0.3168276145469486,0.15241702400786208,0.018095736860762213,0.6155594922331349,0.6442739520958084
can_bike_lane_yn,gis_bike_lane,0.4794520547945205,0.9638989169675091,0.777777777777778,0.8754098360655737,0.516268355888281,0.06485647325217893,0.389152004149725,0.6433847076268371,0.7216754858810147
can_transit_lane_yn,gis_any_bus,0.5,0.9367469879518072,0.29999999999999993,0.971875,0.33206106870228963,0.11660497951541582,0.10351950843404392,0.5606026289705354,0.7183734939759036
can_median_yn,gis_median,0.75,0.7981651376146789,0.6923076923076923,0.8405797101449276,0.5393004889056037,0.04636814160825428,0.44842060132337214,0.6301803764878352,0.7740825688073395
can_speed_bump_yn,gis_speed_bump_signs_yn,1,0.8481375358166189,0.018518518518518517,1,0.03092675791453348,0.12262043987684954,-0.2094048880125506,0.2712584038416176,0.9240687679083095
can_tree_yn,gis_trees_yn,0.9289099526066351,0.48201438848920863,0.7313432835820896,0.8170731707317074,0.44183744546687687,0.05187342495851374,0.3401674007934488,0.543507490140305,0.7054621705479218
