var,var_reference,sensitivity,specificity,ppv,npv,kappa_est,kappa_se,kappa_lower,kappa_upper,auc
tr_traffic_light_yn,can_traffic_light_yn,0.75,0.8666666666666667,0.75,0.8666666666666668,0.6166666666666667,0.1005770388346204,0.4195392928791244,0.813794040454209,0.8083333333333333
tr_pedxwalk_yn,can_crosswalk_yn,0.5454545454545454,0.7777777777777778,0.6923076923076923,0.6511627906976744,0.3261146496815286,0.11472986108824917,0.10124825399727688,0.5509810453657803,0.6616161616161615
tr_sign_stop_yn,can_stop_sign_yn,0.30434782608695654,0.8478260869565217,0.5,0.7090909090909092,0.16867469879518063,0.14153421836711724,-0.10872727178439653,0.44607666937475776,0.5760869565217391
tr_sign_school_zone_yn,can_school_zone_yn,0.16666666666666666,0.9206349206349206,0.16666666666666655,0.9206349206349207,0.08730158730158723,0.2668878208677227,-0.4357889295115267,0.6103921041147011,0.5436507936507937
tr_sidewalk_yn,can_sidewalk_yn,0.9705882352941176,0,0.9850746268656717,0,-0.019704433497535086,0.5757860021313732,-1.1482242604773292,1.1088153934822589,0.4852941176470588
tr_lane_bike_yn,can_bike_lane_yn,0.8,0.8888888888888888,0.6666666666666665,0.9411764705882353,0.6424870466321243,0.11112751600791303,0.42468111756521654,0.8602929756990321,0.8444444444444444
tr_lane_bus_yn,can_transit_lane_yn,0.7857142857142857,0.8909090909090909,0.6470588235294117,0.9423076923076923,0.6265784726398075,0.11607245658794045,0.3990806381303553,0.8540763071492596,0.8383116883116883
tr_median_yn,can_median_yn,0.6904761904761905,0.7037037037037037,0.7837837837837838,0.5937499999999999,0.381562099871959,0.11255959526676522,0.16094934703469407,0.6021748527092239,0.6970899470899471
tr_speed_bump_yn,can_speed_bump_yn,0.3333333333333333,0.9259259259259259,0.5555555555555555,0.8333333333333334,0.303030303030303,0.1663055250360843,-0.022922536470446453,0.6289831425310524,0.6296296296296295
tr_trees_yn,can_tree_yn,0.9672131147540983,0.5,0.9365079365079365,0.6666666666666663,0.5241379310344825,0.18563129425785896,0.16030727988552207,0.8879685821834429,0.7336065573770492
