var,var_reference,sensitivity,specificity,ppv,npv,kappa_est,kappa_se,kappa_lower,kappa_upper,auc
js_traffic_sign_yn,gis_road_signs_inv_yn,0.47055811571940603,0.6917678300455236,0.5307536817788046,0.6381452318460192,0.16474660277400596,0.010625341229324946,0.14392131664108054,0.18557188890693138,0.5811629728824649
js_traffic_sign_yn,gis_total_st_signs_yn,0.48672279792746115,0.6781609195402298,0.4340167484839734,0.7226596675415572,0.16009204496201246,0.011051454088043144,0.13843159297264995,0.18175249695137496,0.5824418587338456
js_traffic_light_yn,gis_traffic_lights_yn,0.3817097415506958,0.9631123919308358,0.37500000000000006,0.9641126240480037,0.34194039995918496,0.02528036702653716,0.2923917910712182,0.3914890088471517,0.6724110667407658
js_pedxwalk_yn,gis_pedxwalk_signs_yn,0.2062780269058296,0.8416170407695831,0.06237288135593219,0.9540438790081786,0.022865250264813862,0.021110386014924102,-0.0185103460241754,0.06424084655380313,0.5239475338377064
js_stop_sign_yn,gis_stop_signs_yn,0.21769772905246673,0.9103910897354766,0.2819472616632861,0.8780517578125,0.14161652942733122,0.018744761845667077,0.1048774713110432,0.17835558754361924,0.5640444093939716
js_stop_sign_yn,gis_stop_signs2_yn,0.21641791044776118,0.9112018372033682,0.2941176470588236,0.871826171875,0.14331363080087278,0.018449243419849284,0.10715377815595561,0.17947348344578995,0.5638098738255648
js_yield_sign_yn,gis_yield_signs_yn,0.04310344827586207,0.9945928051202825,0.09259259259259223,0.9878342832091188,0.051205247420093566,0.07435212265827247,-0.09452223516422494,0.19693273000441208,0.5188481266980722
js_school_zone_yn,gis_school_zone_signs_yn,0.14235500878734622,0.9634103844813567,0.2045454545454546,0.9444317923024368,0.1232658769406394,0.029554833594544673,0.06533946752625738,0.1811922863550214,0.5528826966343515
js_sidewalk_yn,gis_sw,0.963768928771733,0.44106463878326996,0.9831788534157225,0.2642369020501141,0.30559709673566227,0.031199510657982103,0.2444471795107438,0.36674701396058074,0.7024167837775015
js_bike_lanes_yn,gis_bike_lane,0.34405594405594403,0.9940629839958699,0.9144981412639405,0.8914351851851852,0.45343999597182816,0.016463199910010266,0.421172717077925,0.48570727486573134,0.669059464025907
js_bus_lane_yn,gis_any_bus,0.25757575757575757,0.9759928202827014,0.24113475177304988,0.9779676258992805,0.22608925996217466,0.03735727498244239,0.15287034643602843,0.2993081734883209,0.6167842889292294
js_median_yn,gis_median,0.735051045211473,0.9758460890324393,0.8978622327790975,0.9272751534560982,0.7598918258679322,0.008609624057649975,0.7430172727945087,0.7767663789413558,0.8554485671219563
js_speed_bump_yn,gis_speed_bump_signs_yn,0.17647058823529413,0.9251173452679838,0.004354136429608128,0.9983508069266108,0.00490099348816211,0.036148472643897096,-0.06594871099000757,0.0757506979663318,0.5507939667516389
js_trees_yn,gis_trees_yn,0.932251368182676,0.5119876256767208,0.722962095711986,0.8469083155650319,0.46909496770238857,0.009718514025241926,0.450047030229667,0.4881429051751101,0.7221194969296983
js_bus_stop_yn,gis_bus_stops_yn,0.3663003663003663,0.9751695891462946,0.7204610951008642,0.898043375766148,0.42836149777431826,0.016521548005359106,0.3959798587149648,0.4607431368336717,0.6707349777233305
js_parked_vehicles_yn,gis_parking_signs_yn,0.7577821011673151,0.34245398773006136,0.12691430433365916,0.9180921052631579,0.03160116064362964,0.008065110818067194,0.015793833908893568,0.04740848737836571,0.5501180444486882
js_parking_lane_yn,gis_parking_signs_yn,0.02821011673151751,0.9793865030674846,0.14720812182741105,0.8887651709163791,0.011744951890649464,0.027027318067583326,-0.04122761812052253,0.06471752190182146,0.503798309899501
js_brt_station_yn,gis_brt_yn,0.2222222222222222,0.9969806062013703,0.8289473684210509,0.9511411477952582,0.3330662149617204,0.03006659572080374,0.27413677021121896,0.39199565971222183,0.6096014142117963
