CodigoCL,TIPO_SENAL,FASE,ACCION,n
CL6060,SI-07,IMPLEMENTACION,REEMPLAZAR,1
CL6068,SI-07,INVENTARIO,INVENTARIO,1
CL6070,SI-07,IMPLEMENTACION,INSTALACION,1
CL6070,SI-07,PROGRAMACION,REEMPLAZAR,1
CL6072,SI-07,IMPLEMENTACION,INSTALACION,2
CL6073,SI-07,INVENTARIO,INVENTARIO,1
CL6074,SI-07,INVENTARIO,INVENTARIO,1
CL6084,SI-07,INVENTARIO,INVENTARIO,1
CL6084,SI-07,PROGRAMACION,REEMPLAZAR,1
CL6091,SI-07,INVENTARIO,INVENTARIO,2
CL6091,SI-07,PROGRAMACION,MANTENIMIENTO,1
CL6098,SI-07,INVENTARIO,INVENTARIO,1
CL6101,SI-07,INVENTARIO,INVENTARIO,1
CL6106,SI-07,INVENTARIO,INVENTARIO,1
CL6115,SI-07,INVENTARIO,INVENTARIO,1
CL6125,SI-07,IMPLEMENTACION,INSTALACION,1
CL6134,SI-07,IMPLEMENTACION,INSTALACION,1
CL6140,SI-07,IMPLEMENTACION,REEMPLAZAR,1
CL6140,SI-07,INVENTARIO,INVENTARIO,1
CL6141,SI-07,IMPLEMENTACION,INSTALACION,1
CL6141,SI-07,INVENTARIO,INVENTARIO,2
CL6145,SI-07,INVENTARIO,INVENTARIO,1
CL6151,SI-07,INVENTARIO,INVENTARIO,1
CL6159,SI-07,INVENTARIO,INVENTARIO,1
CL6165,SI-07,IMPLEMENTACION,INSTALACION,1
CL6169,SI-07,IMPLEMENTACION,REEMPLAZAR,1
CL6169,SI-07,PROGRAMACION,REEMPLAZAR,1
CL6180,SI-07,PROGRAMACION,RETIRAR,1
CL61813,SI-07,INVENTARIO,INVENTARIO,1
CL6191,SI-07,INVENTARIO,INVENTARIO,1
CL6218,SI-07,INVENTARIO,INVENTARIO,1
CL6253,SI-07,IMPLEMENTACION,INSTALACION,1
CL6267,SI-07,INVENTARIO,INVENTARIO,1
CL6283,SI-07,INVENTARIO,INVENTARIO,1
CL6284,SI-07,PROGRAMACION,MANTENIMIENTO,1
CL6284,SI-07,PROGRAMACION,REEMPLAZAR,1
CL6289,SI-07,INVENTARIO,INVENTARIO,1
CL6295,SI-07,INVENTARIO,INVENTARIO,2
CL6298,SI-07,INVENTARIO,INVENTARIO,1
CL6317,SI-07,INVENTARIO,INVENTARIO,1
