CodigoCL,TIPO_SENAL,FASE,ACCION,n
CL11387,SP-46/SR-30,INVENTARIO,INVENTARIO,2
CL11387,SP-46/SR-30,PROGRAMACION,MANTENIMIENTO,1
CL11449,SP-46,IMPLEMENTACION,REEMPLAZAR,1
CL11526,SP-46/SR-30,INVENTARIO,INVENTARIO,1
CL1153,SP-46,IMPLEMENTACION,INSTALACION,1
CL11595,SP-46A/SR-30,IMPLEMENTACION,INSTALACION,1
CL11601,SP-46/SR-30,IMPLEMENTACION,REEMPLAZAR,1
CL11606,SP-46/SR-30,IMPLEMENTACION,REEMPLAZAR,1
CL11607,SP-46/SR-30,IMPLEMENTACION,REEMPLAZAR,1
CL11648,SP-46/SR-30,IMPLEMENTACION,REEMPLAZAR,1
CL11661,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL11673,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL11704,SP-46/SR-30,INVENTARIO,INVENTARIO,1
CL11716,SP-46,PROGRAMACION,REEMPLAZAR,1
CL11752,SP-46A/SR-30,IMPLEMENTACION,INSTALACION,1
CL11761,SP-46/SR-30,PROGRAMACION,MANTENIMIENTO,2
CL11769,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL11792,SP-46/SR-30,PROGRAMACION,RETIRAR,1
CL11798,SP-46A/SR-30,IMPLEMENTACION,INSTALACION,1
CL11799,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL11809,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL1183,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL11848,SP-46/SR-30,PROGRAMACION,RETIRAR,1
CL11933,SP-46/SR-30,PROGRAMACION,RETIRAR,1
CL11940,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL11940,SP-46/SR-30,PROGRAMACION,MANTENIMIENTO,1
CL12027,SP-46,PROGRAMACION,RETIRAR,1
CL12093,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL12148,SP-46/SR-30,PROGRAMACION,RETIRAR,1
CL12173,SP-46/SR-30,INVENTARIO,INVENTARIO,1
CL12271,SP-46,IMPLEMENTACION,INSTALACION,1
CL12271,SP-46,INVENTARIO,INVENTARIO,1
CL1228,SP-46A/SR-30,IMPLEMENTACION,INSTALACION,1
CL1228,SP-46B,IMPLEMENTACION,INSTALACION,2
CL12282,SP-46/SR-30,INVENTARIO,INVENTARIO,1
CL12291,SP-46,PROGRAMACION,RETIRAR,1
CL12292,SP-46,IMPLEMENTACION,INSTALACION,1
CL1240,SP-46,IMPLEMENTACION,INSTALACION,1
CL12468,SI-24,PROGRAMACION,MANTENIMIENTO,1
CL1253,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL12555,SP-46/SR-30,PROGRAMACION,MANTENIMIENTO,1
CL1259,SP-46A/SR-30,IMPLEMENTACION,INSTALACION,1
CL12595,SP-46,IMPLEMENTACION,REEMPLAZAR,1
CL1261,SP-46A/SR-30,IMPLEMENTACION,INSTALACION,1
CL1267,SP-46A/SR-30,IMPLEMENTACION,INSTALACION,1
CL12757,SP-46/SR-30,IMPLEMENTACION,REEMPLAZAR,1
CL12794,SP-46/SR-30,INVENTARIO,INVENTARIO,1
CL12804,SP-46,IMPLEMENTACION,REEMPLAZAR,1
CL12873,SP-46,IMPLEMENTACION,REEMPLAZAR,1
CL12873,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL1300,SP-46/SR-30,INVENTARIO,INVENTARIO,1
CL1300,SP-46/SR-30,PROGRAMACION,RETIRAR,1
CL1306,SP-46,INVENTARIO,INVENTARIO,2
CL1307,SP-46A/SR-30,IMPLEMENTACION,INSTALACION,2
CL1307,SP-46B,IMPLEMENTACION,INSTALACION,2
CL13120,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL1315,SP-46/SR-30,PROGRAMACION,RETIRAR,1
CL1319,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL13201,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL13235,SP-46,IMPLEMENTACION,INSTALACION,1
CL1329,SP-46/SR-30,INVENTARIO,INVENTARIO,1
CL1343,SP-46A/SR-30,IMPLEMENTACION,INSTALACION,1
CL1343,SP-46B,IMPLEMENTACION,INSTALACION,2
CL13575,SP-46/SR-30,PROGRAMACION,MANTENIMIENTO,1
CL1358,SP-46B,IMPLEMENTACION,INSTALACION,2
CL13715,SP-46A/SR-30,IMPLEMENTACION,INSTALACION,1
CL13731,SP-46A/SR-30,IMPLEMENTACION,INSTALACION,1
CL13811,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL13811,SP-46/SR-30,PROGRAMACION,MANTENIMIENTO,1
CL13830,SP-46/SR-30,PROGRAMACION,MANTENIMIENTO,1
CL13901,SP-46A/SR-30,IMPLEMENTACION,INSTALACION,1
CL13976,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL1406,SP-46,IMPLEMENTACION,REUBICAR,1
CL1406,SP-46,PROGRAMACION,REEMPLAZAR,1
CL1406,SP-46/SR-30,INVENTARIO,INVENTARIO,1
